text,line,length,shot
"good length and bends away outside off, much closer to off, Babar pulls his bat out of the way",Outside Off,Good Length,Pull
"<strong>Whoa, how good was that?</strong> Steyn has a wry smile on his face. That was how good it was. Just short of a good length and outside off, Babar leans back, gets on top of it and punches it away square through point. Rifled away to the boundary",Outside Off,Good Length,Unknown
"short of a length, angling in, then bending away against the angle, no shot from Babar now",Unknown,Short,Unknown
"good length and targetting off stump, Babar gets right behind the line in defence",Off Stump,Good Length,Unknown
"length ball swung away from the corridor, left alone",Unknown,Unknown,Leave
"length outside off, defended to gully",Outside Off,Unknown,Defend
"oh nice. Full outswinger from off stump. Leans in nicely this time, gets a good stride out and caresses this wide of mid-off",Off Stump,Full,Unknown
"length outside off, defended to backward point's left off the outside half",Outside Off,Unknown,Defend
length ball with some shape away from off. Solidly defended on the back foot,Unknown,Unknown,Defend
"pfft. Single. Short ball just outside off. Looks to cart this through the line, but it comes on too quickly. Chopped harmlessly towards sweeper cover",Outside Off,Short,Unknown
<b>bounce.</b> Length ball shaping away in the corridor and leaping up as Sarfraz gets forward to defend. QDK collects above his head,Unknown,Unknown,Defend
length and just outside off. Defended on the front foot,Outside Off,Unknown,Defend
"<b>now to deal in fives.</b> Full ball just outside off, driven to cover's left. He slides, picks up and throws at the non-striker's. Rabada lets it through at midwicket, running in to back up",Outside Off,Full,Drive
"length ball shaping away at off stump, tapped on the rise to the bowler",Off Stump,Unknown,Unknown
"yorker at off stump, jammed to midwicket's left",Off Stump,Yorker,Unknown
short of a length and shaping away in the corridor. Defended off the outside half on the back foot,Unknown,Short,Defend
"short of a length outside off, punched off the back foot to point",Outside Off,Short,Unknown
"short of a length just outside off, defended off the back foot",Outside Off,Short,Defend
oh beauty. Such a joy to watch. Length ball just outside off. All balance as he leans into this and punches to bisect bowler and mid-off,Outside Off,Unknown,Unknown
length and just outside off. Tapped to mid-on off the back foot,Outside Off,Unknown,Unknown
"short and wide and staying low. Babar looks to play the cut, beaten on the under-edge",Unknown,Short,Cut
"<b>falls short of first slip.</b> Short ball follows him as he sways backwards. Bat high, gloves high. He's looking to play the late cut. It pings off the glove and falls well short",Unknown,Short,Cut
"<b>short of third slip.</b> Length ball, swung away in the corridor. Pushes on the front foot and gets a thick edge",Unknown,Short,Unknown
full and swung slightly towards off stump. Jammed towards midwicket,Off Stump,Full,Unknown
full and slanted down leg side. Leans into the off side and tickles it fine,Down Leg,Full,Unknown
<b>sliced</b> past gully. Full outswinger in the channel. Opens the face and uses his wrists to squirt this through,Unknown,Full,Unknown
"length ball shaping away in the corridor, left alone",Unknown,Unknown,Leave
short of a length outside off. Gets on his toes and punches handsomely into the covers. Bavuma with a sensational dive to get his right hand on it,Outside Off,Short,Unknown
"length outside off, nicely behind the line to punch off the front foot through cover. Extra cover gives chase and realises its quickly dribbling away from him. Puts in a slide and looks to pull it back with his right hand, but he can only parry it to his right and into the padding",Outside Off,Unknown,Pull
"short of a length at off stump, defended off the back foot",Off Stump,Short,Defend
length and shaping away outside off. Sliced on the rise to backward point,Outside Off,Unknown,Unknown
"length ball dipping in at leg stump, nudged to midwicket's right off the inside half",Leg Stump,Unknown,Unknown
length and in at off stump. Solidly defended into the off side,Off Stump,Unknown,Defend
short ball rising in the corridor. Arches back and looks to dab it over the slips. Beaten. That kept dipping in at him and cut out the room,Unknown,Short,Cut
pulled back at the cover boundary. Length ball swung away and an adventurous flail from Sarfraz wide outside off. It's off the toe-end and the feet are static. Backward point pulls it back in for extra cover,Outside Off,Unknown,Pull
"short and wide outside off, cut to deep backward point",Outside Off,Short,Cut
full and just outside off. Mistimed drive. Rolls back to the bowler,Outside Off,Full,Drive
"<b>close call</b> at the non-striker's end but a an overthrow four at fine leg for the effort! Length ball just outside off, tapped to extra cover on the rise. He fumbles and Steyn has to clean up at mid-off as Sarfraz decides to run on the misfield. Full-length dive as this throw misses",Outside Off,Full,Unknown
"length outside off, blocked on the front foot",Outside Off,Unknown,Defend
drilled. Nice hands from Sarfraz. Overpitched ball just outside off. Doesn't have to move the feet too much. Brings the bat down on it and gets it past point,Outside Off,Unknown,Unknown
nicely placed. Short of a length and a lot of width outside off. Stays still and uses his wrists to beat deep point to the left,Outside Off,Short,Unknown
<b>beaten.</b> Short of a length and rising outside off. Stabs at it and is beaten,Outside Off,Short,Unknown
"length at leg stump, flicked to square leg's right. Frenzied 'yeah yeah yeah' from Sarfraz. A calm denial from Babar",Leg Stump,Unknown,Flick
short of a length outside off. Looks to drive on the rise. Gets an under-edge pitch side on the off side,Outside Off,Short,Drive
"length ball curving away, wide outside off. Slashes hard and misses",Outside Off,Unknown,Unknown
"length ball just outside off. Looks to drop and run. A strange call, that was well timed and headed straight to extra cover. Bit reckless here...",Outside Off,Unknown,Unknown
"length ball outside off, gets on the front foot to block. Inside edge onto front pad",Outside Off,Unknown,Defend
short of a length just outside off. Tapped to deep point's left,Outside Off,Short,Unknown
short ball in the corridor. Hurries him on the pull and he gets it to mid-on,Unknown,Short,Pull
<b>deviates weirdly</b> off the pitch. Crack? Short ball dies on impact and dips down leg side as Babar leaves. Goes over the stumps and keeps slanting down to go past the keeper,Down Leg,Short,Leave
"short of a length outside off, some swing away outside off. Waits on it and guides it to deep point's left. Comes back for the second and <b>brings up his fifty!</b> He got there nine overs after Babar, but he's gone past in a hurry. What an innings",Outside Off,Short,Unknown
"length and wide outside off, left alone",Outside Off,Unknown,Leave
"<b>taken at first slip!</b> Second attempt. Amla finally gets a go at this whole slip catching thing, and he doesn't disappoint. Short of a length and shaping away. Some extra bounce. Sarfraz looks to jab it behind square with a horizontal bat. Amla gets his hand up and lays it off to take it on the second attempt",Unknown,Short,Unknown
"length outside off, jabs at it on the front foot and is beaten",Outside Off,Unknown,Unknown
length ball in at middle stump. Defended off the back foot,Middle Stump,Unknown,Defend
"length just outside off, defended from the crease",Outside Off,Unknown,Defend
"<b>holes out to fine leg!</b> Some lessons still not learnt, it appears. Cuts, ramps, pulls, hooks - Olivier has been impossible to get away with those shots all day today. Not to mention the previous Tests. Hurries him and he is falling away, into the off side and backwards. Never a good sign when you're hooking. Top edge and Rabada runs in to hold on low",Unknown,Unknown,Pull
"<b>that is woeful.</b> Another bouncer, in the corridor. Faheem is looking to pump him through midwicket with a pull, first ball. It slams the sticker of the bat and lobs harmlessly to short leg's right. Easy catch, taken without fuss",Unknown,Short,Pull
"short and a tad too wide outside off. Left alone. Disappointed with himself, the bowler",Outside Off,Short,Leave
<b>mean!</b> Bouncer at a middle stump line. Amir down quickly to let that fly,Middle Stump,Short,Unknown
"short and wide outside off. Looks to slash it over point, beaten by the bounce",Outside Off,Short,Unknown
short ball lifting up in the corridor. Jumps into the leg side and fends at this. Beaten,Down Leg,Short,Unknown
"length ball, bowled into the corridor from wide of the crease. Left alone",Unknown,Unknown,Leave
"length at off stump, solidly defended on the back foot",Off Stump,Unknown,Defend
"that's classy. Length ball just outside off, leans in with a nice positive stride and punches on the rise through cover",Outside Off,Unknown,Unknown
"bouncer in the corridor, left alone. QDK leaps one-handed to receive that",Unknown,Short,Leave
"length at off stump, defended to gully off the outside half",Off Stump,Unknown,Defend
short and wide outside off. Swishes under it and is beaten,Outside Off,Short,Unknown
"length at off stump, defended off the back foot",Off Stump,Unknown,Defend
"short ball wide outside off, left alone",Outside Off,Short,Leave
short ball rising up above off stump. Drops the gloves and lets it pass,Off Stump,Short,Unknown
attempted inswinging yorker. Dips in at leg stump and Amir hurriedly brings the bat down to tap this past mid-on,Leg Stump,Yorker,Unknown
"<b>sliced aerially</b> and to the cover boundary. Another full outside off. Keeps the feet in the leg side and slashes at this. It's off the low part of the bat, but it's effective",Outside Off,Full,Unknown
"bouncer rises above the helmet, left alone",Unknown,Short,Leave
length at off stump. Drops it in the off side with soft hands and is sent back as Bavuma swoops down at it and throws. Overthrow at fine leg as a result,Off Stump,Unknown,Unknown
"length outside off, punched on the up to mid-off",Outside Off,Unknown,Unknown
"length at middle stump, defended down the pitch",Middle Stump,Unknown,Defend
"bouncer, down leg side. Left alone",Down Leg,Short,Leave
bouncer too short.. QDK jumps up and can only parry it to third man as Amir ducks this,Unknown,Short,Unknown
"short at off stump, defended solidly on the back foot",Off Stump,Short,Defend
"length ball outside off, slices on the rise through extra cover",Outside Off,Unknown,Unknown
"short and wide outside off, under-edge on the cut",Outside Off,Short,Cut
"<b>straight to short leg.</b> Five-for number three in the series for Olivier! Short ball at the ribs. He gets up to try and defend it. Dabs it straight to the fielder. Simple. Couldn't get that down, it was too quick",Unknown,Short,Defend
"back of a length on off, gingerly defended",Off Stump,Short,Defend
"short on off, Hasan stays leg-side of the ball and keeps it out",Off Stump,Short,Unknown
"short and aiming at the chest, 144ks, rushes the batsman into a hook. He fends it in the air but over short leg",Unknown,Short,Hook
"bouncer, fizzes through to the keeper, as Shadab swerves inside the line. The pressure is relentless from SA",Unknown,Short,Unknown
"short and shoved down the leg side, away from the reach of the pull",Down Leg,Short,Pull
"good length and homing in at off, 141ks, Shadab gets right forward and blocks to cover",Unknown,Good Length,Defend
"<strong>Rabada wraps up Pakistan for 185</strong>. Back of a length and outside off, Shadab chases after it. He jabs hard at it and hands a catch to de Bruyn at gully",Outside Off,Short,Unknown
"back of a length and outside off, not much movement either way, left alone",Outside Off,Short,Leave
"just short of a good length and outside off, Elgar ignores it again",Outside Off,Good Length,Unknown
"short and angling in just a shade outside off, no shot again",Outside Off,Short,Unknown
"on a length and holds its line outside off, 132ks, Elgar prods at it, this does not bounce at all, he bottom-edges it and threads the cordon",Outside Off,Good Length,Unknown
"shorter and outside off, 135ks, Elgar goes on the back foot and rides it out to gully",Outside Off,Unknown,Unknown
"full and homing in from outside off, but does not threaten off, so Elgar simply ushers it through to keeper",Outside Off,Full,Unknown
"good length and swings away outside off, 122ks, left alone",Outside Off,Good Length,Leave
"back of a length and holds its line outside off, Markram sizes it up and laces it through extra-cover. Thrashed away through the off side",Outside Off,Short,Unknown
"shorter and wobbles away outside off, Markram<strong> jabs away from the body and misses</strong>",Outside Off,Unknown,Unknown
"very full and swinging down the leg side, well away from the reach of a diving Sarfraz",Down Leg,Full,Unknown
"short on off, but it keeps low, short-armed away through midwicket off the back foot. Variable bounce",Off Stump,Short,Unknown
"short and holds its line outside off, Elgar lets it go",Outside Off,Short,Unknown
"back of a length and swings back in, tucked off the pads to long leg",Unknown,Short,Unknown
"good length and nibbling away outside off, draws Markram into a lazy poke and beats the outside edge",Outside Off,Good Length,Unknown
Markram rises on top of a short ball outside off and delectably punches it between covers and mid-off,Outside Off,Short,Unknown
"pitched up and outside off, comes back in late after passing off stump, Elgar shoulders arms",Outside Off,Full,Unknown
"full and hung up outside off, Elgar does not bite",Outside Off,Full,Unknown
"full and Abbas plugs away outside off, Markram ignores it",Outside Off,Full,Unknown
"full and Abbas brings this one back into Markram, and draws an appeal for lbw. Not given by umpire Ravi. Impact seems outside off, but Sarfraz challenges the on-field not-out decision. Nips back in a bit and strikes the front pad, then ricochets onto the back pad. Was there an inside edge there? Ultra Edge detects a spike. Yup, an inside edge, and the on-field decision is upheld",Outside Off,Full,Unknown
"short and on a fourth-stump line, Markram gets right behind the line and fends it back to the bowler",Unknown,Short,Unknown
delightful back-foot punch from Markram. Rises on top of a short ball outside off and lets his hands flow through the line. Top shot,Outside Off,Short,Unknown
"pitched up and holds its line outside off, Markram simply ushers it through to the keeper",Outside Off,Full,Unknown
"full and swerves in at off, Markram closes the face and whisks the ball to mid-on",Unknown,Full,Unknown
"Amir pitches it full and gets this to <strong>swing back into Elgar</strong>. Elgar is caught on the crease, the ball moves in to graze the back leg and carry through to Sarfraz, The Pakistan captain wants a review. He thinks Elgar has nicked this and Ultra Edge detects a spike. He has tickled it behind off the back pad to the keeper. Inside edge. Fine review from Pakistan, but SA's lead has already passed 100",Unknown,Full,Unknown
"good length and swings back into Amla, who stretches out and smothers it",Unknown,Good Length,Unknown
"shorter at the body, Amir has Amla hopping and fending off to leg side",Down Leg,Unknown,Unknown
"fuller and pushed across off stump, Amla gets forward and dead-bats it",Off Stump,Unknown,Unknown
back of a length and swings in to cramp Markram for room. He keeps it out,Unknown,Short,Unknown
Amla jumps across off and defends a full ball angling into middle,Middle Stump,Full,Defend
"pitched up and outside off, no shot",Outside Off,Full,Unknown
"pitched up and attacking the stumps, blocked back down the pitch",Unknown,Full,Defend
"pitched up and angling in at off, defended back to the bowler",Unknown,Full,Defend
"full and nips back in, Amla deploys a big stride and catches the thigh pad. Impact outside the line",Unknown,Full,Unknown
Amla jumps across off and defends a full ball slanting into off and middle,Middle Stump,Full,Defend
"back of a length on middle, fended back off the back foot",Middle Stump,Short,Unknown
"good length and angling across off, tapped defensively to cover",Unknown,Good Length,Unknown
this is full and defends straight to short cover,Unknown,Full,Defend
"short and ducks back in, defended back",Unknown,Short,Defend
"full and slanting away outside off, run away to point off the front foot",Outside Off,Full,Unknown
"full and nipping away outside off, ignored",Outside Off,Full,Unknown
"short and angling into middle, played back to Hasan off the back foot",Middle Stump,Short,Unknown
"pitched up and outside off, ignored",Outside Off,Full,Unknown
"on a length and outside off, glides to point off the front foot",Outside Off,Good Length,Unknown
"pitched up and just a shade outside off, defended back to the bowler",Outside Off,Full,Defend
"short and outside off, left alone and that's tea",Outside Off,Short,Leave
"shottttttttt. Full on middle stump, half a stride into it and a late flick of the wrists to get this wide of mid-on",Middle Stump,Full,Flick
"length outside off, pushed back down the pitch off the back foot",Outside Off,Unknown,Unknown
"length and just outside off, defended into the covers",Outside Off,Unknown,Defend
"length ball slanted in at middle stump, leaves him off the surface. Defended into the off side",Middle Stump,Unknown,Defend
"full at off stump, blocked solidly on the front foot",Off Stump,Full,Defend
length ball skidding into the pad as he looks to flick off the back foot. Deflected towards fine leg off the thigh guard,Unknown,Unknown,Flick
"length at off stump, pushed down the pitch from the crease",Off Stump,Unknown,Unknown
"length ball wide outside off, left alone",Outside Off,Unknown,Leave
"short of a length just outside off, defended off the back foot",Outside Off,Short,Defend
"short ball at a leg stump line. Drops the shoulders and allows it to go. Or he tries, anyway. Looks like that's got a bit of his shoulder on the way to Sarfraz",Leg Stump,Short,Unknown
"short of a length just outside off, mistimed punch through cover off the back foot",Outside Off,Short,Unknown
length and in at off stump. Defended solidly off the back foot,Off Stump,Unknown,Defend
"<b>jumps away.</b> Short of a length in the corridor, flies well wide of the outside edge. Looks like that hit the crack",Unknown,Short,Loft/Smash
"length ball just outside off, shuffles and lets go",Outside Off,Unknown,Unknown
bouncer down leg side. Chases it and can't get bat on it,Down Leg,Short,Unknown
length ball shaping away in the corridor. Defended off the back foot,Unknown,Unknown,Defend
"length ball swung away outside off, left alone",Outside Off,Unknown,Leave
"full at middle stump, jammed to mid-on's right off the low part of the bat",Middle Stump,Full,Unknown
"length ball just outside off, defended off the back foot",Outside Off,Unknown,Defend
"length at off stump, defended from deep in the crease",Off Stump,Unknown,Defend
"length at middle stump, tapped to midwicket's left",Middle Stump,Unknown,Unknown
"full and in at middle stump, defended on the front foot",Middle Stump,Full,Defend
"length ball wide outside off, left alone",Outside Off,Unknown,Leave
"oh nice! Length ball just outside off, solidly behind the line as he sets up for this. Gets his arms through the line and punches wide of mid-off",Outside Off,Unknown,Unknown
"length just outside off, tapped to mid-off's left on the up",Outside Off,Unknown,Unknown
length and just outside off. Leans in and flicks to midwicket,Outside Off,Unknown,Flick
full and just outside off. Driven to extra cover,Outside Off,Full,Drive
"length ball down leg side, can't get bat on it",Down Leg,Unknown,Unknown
length ball just outside off. Hangs the bat out at it and is beaten on the outside edge. No feet at all,Outside Off,Unknown,Unknown
"full at middle stump, blocked down the pitch",Middle Stump,Full,Defend
full and in at middle stump. Stands tall and punches to mid-on,Middle Stump,Full,Unknown
"<b>and when he finally bowls there's an lbw appeal</b> that Sarfraz has sent up. Amla is pinned on the back foot by an incoming ball, but that looked like it was going down leg as he looked to flick. Yes it is. Pakistan are out of reviews. Not much of a discussion there before the review",Down Leg,Unknown,Flick
<b>just wide of point.</b> Length and wide outside off. Chucks his hands at this even as it rises and ends up slicing it to point's left. Loose shot,Outside Off,Unknown,Unknown
short of a length and in at middle stump. Punched to mid-on off the back foot,Off Stump,Short,Unknown
"short of a length just outside off, tapped to cover point on the up",Outside Off,Short,Unknown
"<b>good catch!</b> Shafiq crouches and grabs one in front of his face at second slip. That went quick. Short of a length just outside off, swipes at it away from the body. There's not much in terms of deviation. Flies off the edge. The cordon is possibly closer than they usually are. Well held",Outside Off,Short,Unknown
<b>into the mid-riff</b> as he looks to glance. Short of a length and rising up at him. Beaten on the inside edge and he feels this sting,Unknown,Short,Flick
"<b>that's plumb!</b> A bit of pitch misbehaviour and Hamza can't do anything about this. Short of a length ball, belted into the pitch. Keeps low as he gets on the back foot and is hit bang in front of halfway up middle stump",Middle Stump,Short,Loft/Smash
full and up at off stump. Solidly blocked on the front foot,Off Stump,Full,Defend
<b>past the outside edge.</b> Whew. Some deviation. Length ball jumps away off the surface as he looks to defend on the inside edge,Unknown,Unknown,Defend
"length at leg stump, gets on top and punches this past midwicket on the up",Leg Stump,Unknown,Unknown
"length ball wide outside off, left alone",Outside Off,Unknown,Leave
"strong forearms. Short of a length just outside off, gets on his toes and gets his weight into this back foot punch. It whizzes past cover",Outside Off,Short,Unknown
<b>superb!</b> Vintage Amla. Full and just outside off. Gets to the pitch of this and taps it wide of mid-off,Outside Off,Full,Unknown
"<b>Amla reviews an lbw decision.</b> Looked like he got an inside edge on that. Oh yes, big time. Length ball keeps low. Gets on the back foot to try and flick. Again, the pitch acting up there. Big deviation into the batsman and hardly any bounce",Unknown,Unknown,Flick
"length outside off, keeps low as he shuffles and lets this go",Outside Off,Unknown,Unknown
"length at middle stump, flicked to midwicket",Middle Stump,Unknown,Flick
"short of a length in the corridor, left alone",Unknown,Short,Leave
length and just outside off. Deviates off the seam too. Tantalizing line from Faheem. Left alone by Bavuma,Outside Off,Unknown,Leave
"overpitched outside off, leans in and pokes this wide of mid-off",Outside Off,Unknown,Unknown
"length ball outside off, left alone",Outside Off,Unknown,Leave
"short ball just outside off, rocks back on it and chops late to beat point to his left",Outside Off,Short,Unknown
"length at middle stump, defended into the leg side",Middle Stump,Unknown,Defend
"short of a length just outside off, defended off the back foot",Outside Off,Short,Defend
"length at leg stump, tapped through square leg",Leg Stump,Unknown,Unknown
"length at off stump, defended to gully off the back foot",Off Stump,Unknown,Defend
"length at leg stump, deflected into the square leg region with the flick",Leg Stump,Unknown,Flick
"short of a length outside off, swats it to fine leg's left off the inside edge",Outside Off,Short,Unknown
"short of a length just outside off, defended off the back foot",Outside Off,Short,Defend
length ball in at off stump. Defended off the inside half,Off Stump,Unknown,Defend
"short and wide outside off. Lines up and gives it the whippy Amla cut. Right off the middle, between gully and point",Outside Off,Short,Cut
inside edge as he looks to block on the front foot. Full and slanted in at off stump,Off Stump,Full,Defend
beats mid-off's sprint! Full and in at middle stump. Plants a half-stride and punches it past Bavuma. Hasan gives chase but he won't win,Middle Stump,Full,Unknown
"length and pushed just across off stump, left alone",Off Stump,Unknown,Leave
short of a length and just outside off. Defended on the back foot,Outside Off,Short,Defend
bouncer at a leg stump line. Walks into the off side and looks to hook. Beaten,Leg Stump,Short,Hook
"short of a length on leg stump, whipped to deep square",Leg Stump,Short,Unknown
short and pushed across off stump. Ducks under it,Off Stump,Short,Unknown
"short of a length just outside off, mistimed punch to cover's left",Outside Off,Short,Unknown
"Ashraf floats it full and outside off, no shot",Outside Off,Full,Unknown
"full at off, Bavuma hangs back, opens the face and dabs the ball to gully",Unknown,Full,Unknown
"full and Ashraf probes away outside off, ignored",Outside Off,Full,Unknown
"pitched up in the channel, Bavuma leaves it once again",Unknown,Full,Leave
"back of a length and jags back in, but bounces past off stump as Bavuma ignores",Off Stump,Short,Unknown
"pitched up just a shade outside off, Ashraf makes Bavuma play this time. The batsman does so with soft hands, and dabs it gently to gully",Outside Off,Full,Unknown
"short of a length on the hips, Amla brings his dexterous wrists into play and hits it to deep square leg off the back foot",Unknown,Short,Unknown
"full and skipping away outside off, Bavuma drives weakly and slices it in front of square on the off side",Outside Off,Full,Drive
"pitched up and outside off, Amla dangles his bat out, the ball rolls down to gully off the outside edge",Outside Off,Full,Unknown
"back of a length and zips back in on middle, Amla keeps it out",Middle Stump,Short,Unknown
"good length and nips back in at off, some extra bounce, Amla yanks his bottom hand off the bat and defends",Unknown,Good Length,Defend
Amla shows the full face of the bat and punches a length ball from outside off to short cover,Outside Off,Full,Unknown
"short and outside off, Bavuma reaches out and jabs it away through point. He goes after it and finds the boundary",Outside Off,Short,Unknown
"full and outside off, ignored",Outside Off,Full,Unknown
"full and Ashraf explores the channel outside off, Bavuma doesn't",Outside Off,Full,Unknown
"bouncer outside off, sways his upper body out of the way",Outside Off,Short,Unknown
"banged in short and outside off, Bavuma arches back and lets it go again",Outside Off,Short,Unknown
"good length and homing away outside off, ignored",Outside Off,Good Length,Unknown
Amla plays around his front pad and flicks this incoming delivery to midwicket,Unknown,Unknown,Flick
"full and just a shade outside off, can't breach Amla's tight defence",Outside Off,Full,Unknown
"short and holds its line outside off, Amla goes after it and fences it to gully",Outside Off,Short,Unknown
"Amir grunts as a delivers this full ball on off, Amla covers up in defence and plays it back down the pitch",Off Stump,Full,Unknown
"back of a length and on middle and leg, Amla jumps across off and works it away to midwicket",Middle Stump,Short,Unknown
"pitched up and breaks away outside off, driven with the spin to sweeper cover",Outside Off,Full,Drive
"shorter legbreak, finishes outside off, Amla goes on the back foot and punches to short cover",Outside Off,Short,Unknown
"shorter and skids on off, Amla camps back and whips with the wrists to short midwicket",Off Stump,Short,Unknown
"looped up nicely outside off, Amla stretches out to smother it",Outside Off,Unknown,Unknown
"straighter one on middle, Amla dead-bats it away",Middle Stump,Unknown,Unknown
"tossed on middle, Amla deploys a big stride and blocks back to Shadab",Middle Stump,Unknown,Defend
"good length and holds its line outside off, Bavuma covers his off stump and lets it go",Outside Off,Good Length,Unknown
"overpitched and outside off, Bavuma lunges into this half-volley and rifles a drive through extra-cover. There's no stopping that",Outside Off,Full,Drive
"good length and put outside off, no shot",Outside Off,Good Length,Unknown
"back of a length and comes back into Bavuma, who sits back and inside-edges it onto the pad",Unknown,Short,Unknown
"back of a length and outside off, ignored",Outside Off,Short,Unknown
"overpitched on off, drilled back to the bowler",Off Stump,Unknown,Unknown
"fractionally short and breaks away outside off, Amla sits back and chops hard to the left of sweeper cover",Outside Off,Short,Unknown
"Bavuma stretches out to this length ball on off, and sweeps it flat and hard in front of square leg, Cracking stroke",Off Stump,Unknown,Sweep
"darted shorter on off, defended back to Shadab",Off Stump,Unknown,Defend
"on a length and turns away outside off, nothing doing from Bavuma",Outside Off,Good Length,Unknown
"looped up on off, not much turn either way, Amla stretches out and smothers it",Off Stump,Unknown,Unknown
"Bavuma jumps across off, gets inside the line of this back of a length ball on middle, and glances to long leg",Middle Stump,Short,Flick
"good length and outside off, hint of extra bounce, fended onto the pitch",Outside Off,Good Length,Unknown
"full and nibbles back in slightly, left alone. This stays low",Unknown,Full,Leave
"short and outside off, punched up to mid-off",Outside Off,Short,Unknown
"good length and angling into off, played back to the bowler",Unknown,Good Length,Unknown
"full and plugs away outside off does Abbas, ignored by Amla",Outside Off,Full,Unknown
"floated up on middle, blocked off the front foot",Middle Stump,Unknown,Defend
"tossed outside off, stabbed into the covers off the front foot",Outside Off,Unknown,Unknown
"Delicious legbreak from Shadab. Lobbed up just a shade outside off, breaks away just enough to catch the outside edge and Sarfraz snaffles another catch behind the stumps. It's his eighth catch - most by him in any Test",Outside Off,Unknown,Unknown
"full and turns back in, de Kock sits back and inside-edges it behind square on leg side",Down Leg,Full,Unknown
"skidder just a shade outside off, chopped hastily to point to end the over",Outside Off,Unknown,Unknown
"on a length and just a shade outside off, played back to the bowler off the front foot",Outside Off,Good Length,Unknown
de Kock jumps across and blocks this length ball on middle,Middle Stump,Unknown,Defend
"fuller than a good length and moves away outside off, tempts de Kock into a lousy drive and <strong>goes past the outside edge</strong>",Outside Off,Good Length,Drive
"full on the stumps, de Kock stretches out, shows the full face of the bat, and drives straight of mid-on for four. Top shot",Unknown,Full,Drive
"on a length and outside off, driven on the up to mid-off",Outside Off,Good Length,Drive
"fullish and outside off, nothing doing from Amla",Outside Off,Unknown,Unknown
"flighted outside off, spins in, tickled away to square leg",Outside Off,Unknown,Unknown
"tossed on leg stump, pushed away to the left of Shadab",Leg Stump,Unknown,Unknown
"tossed outside off, eased to long-on off the front foot. 100 up for SA in their second dig",Outside Off,Unknown,Unknown
"drifts into Amla and then leaves him, sharp spin for Shadab, Amla is up to it, punching to point",Unknown,Unknown,Leave
"tossed outside off, Amla lunges out and drives smoothly to deep cover",Outside Off,Unknown,Drive
"short and flat on the leg stump, de Kock sits back and forces a pull to deep midwicket",Leg Stump,Short,Pull
De Kock rides this short ball outside off and plays to gully,Outside Off,Short,Unknown
"good length on off, blocked back to Abbas",Off Stump,Good Length,Defend
"back of a length on off, de Kock leans back and glides it to point",Off Stump,Short,Unknown
"back of a length on off, forward and jabbed into the covers",Off Stump,Short,Unknown
"shorter and wider outside off, de Kock latches onto it and cracks a cut behind point. Right up in his hitting arc",Outside Off,Unknown,Cut
"shorter and outside off, worked away behind square on the leg side",Outside Off,Unknown,Unknown
"dragged down on middle and leg, de Kock skips back and mauls a pull through square leg for four",Middle Stump,Unknown,Pull
"dangled up full and wide outside off, de Kock chases a drive and inside-edges it behind to leg slip",Outside Off,Full,Drive
"flighted on middle, driven down to long-on",Middle Stump,Unknown,Drive
"pitches in line and spins in to catch the pad, de Kock weathers an lbw appeal. Turning down leg",Down Leg,Unknown,Unknown
"half-tracker on leg stump, swatted off the back foot to deep midwicket",Leg Stump,Unknown,Unknown
"just short of a good length and angling away outside off, patted to point",Outside Off,Good Length,Unknown
"short on off, Amla leaps back and fends it back to the bowler",Off Stump,Short,Unknown
"full and swings in, driven off an inside edge to long leg",Unknown,Full,Drive
"on a length and just a shade outside off, played back",Outside Off,Good Length,Unknown
"really full on middle and leg, whipped away between midwicket and mid-on for four",Middle Stump,Full,Unknown
"tossed outside off, driven with the spin to the left of short cover off the front foot",Outside Off,Short,Drive
"short and spinning into the hips, pulled to long leg",Unknown,Short,Pull
"tossed on a fourth-stump line, defended back",Unknown,Unknown,Defend
"slightly overpitched and outside off, driven through the line, through extra-cover, Ashraf chases hard but the ball wins the race. Sarfraz isn't pleased",Outside Off,Unknown,Drive
"on a length and outside off, ignored",Outside Off,Good Length,Unknown
"back of a length and just a shade outside off, patted into the covers",Outside Off,Short,Unknown
"shorter and outside off, fended off to backward point",Outside Off,Unknown,Unknown
"short of a length and outside off, Amla plays at the last moment and late-cuts it between gully and backward point",Outside Off,Short,Cut
"back of a length and skidding off the pitch to strike the pad, but this is heading down leg",Down Leg,Short,Unknown
"pitched up and outside off, Amla keeps it out",Outside Off,Full,Unknown
"full and outside off, blocked off the front foot",Outside Off,Full,Defend
"short and wide outside off, de Kock latches onto it and crunches a cut behind point for four",Outside Off,Short,Cut
"back of a length on off, defended back",Off Stump,Short,Defend
"back of a length and just a shade outside off, stabbed to point",Outside Off,Short,Unknown
pitched up and slanting into the middle of de Kock's front-foot defence on off,Off Stump,Full,Unknown
length ball just outside off. Shuffles and smothers it into the pitch offthe back foot,Outside Off,Unknown,Unknown
length and in at off stump. Blocked on the front foot,Off Stump,Unknown,Defend
<b>big lbw appeal</b> is turned down! Oh that looked very close. No reviews left. Length ball cuts in sharply and hits him on the flap in front of middle stump. Amla was deep in the crease. Was that going over?,Middle Stump,Unknown,Cut
"length at off stump, shuffles and defends to square leg off the inside half",Off Stump,Unknown,Defend
"length at middle stump, defended to midwicket",Middle Stump,Unknown,Defend
length ball coming in at off stump. Brings an angled bat down to defend this. Rolls behind square off the inside edge,Off Stump,Unknown,Defend
